title,model,price,date,url
알루미늄 노트북 맥북 거치대 (미사용 새상품),기타,18000.0,2025-05-02 01:02:25.884353,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%95%8C%EB%A3%A8%EB%AF%B8%EB%8A%84-%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%A7%A5%EB%B6%81-%EA%B1%B0%EC%B9%98%EB%8C%80-%EB%AF%B8%EC%82%AC%EC%9A%A9-%EC%83%88%EC%83%81%ED%92%88-z6tpam2p9n23/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
아수스 젠북 UM425IA-AM001 라이젠 노트북,기타,280000.0,2025-05-02 01:02:25.884358,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%95%84%EC%88%98%EC%8A%A4-%EC%A0%A0%EB%B6%81-um425ia-am001-%EB%9D%BC%EC%9D%B4%EC%A0%A0-%EB%85%B8%ED%8A%B8%EB%B6%81-c3vz1owrj5fy/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
13인치 노트북 파우치 델,기타,8000.0,2025-05-02 01:02:25.884362,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/13%EC%9D%B8%EC%B9%98-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%8C%EC%9A%B0%EC%B9%98-%EB%8D%B8-t5u4khfs63qw/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
삼성 노트북,삼성,244000.0,2025-05-02 01:02:25.884367,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EB%85%B8%ED%8A%B8%EB%B6%81-wbn29n2edx16/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
심슨 태블릿 노트북 파우치 10000원,기타,10000.0,2025-05-02 01:02:25.884370,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%8B%AC%EC%8A%A8-%ED%83%9C%EB%B8%94%EB%A6%BF-%EB%85%B8%ED%8A%B8%EB%B6%81-%ED%8C%8C%EC%9A%B0%EC%B9%98-10000%EC%9B%90-4op269wji6em/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
노트북,기타,600000.0,2025-05-02 01:02:25.884375,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%85%B8%ED%8A%B8%EB%B6%81-8t41jsbtah1d/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
인텔 듀얼 모니터 노트북 램 16gb/롬 256gb,기타,1100000.0,2025-05-02 01:02:25.884379,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EC%9D%B8%ED%85%94-%EB%93%80%EC%96%BC-%EB%AA%A8%EB%8B%88%ED%84%B0-%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%9E%A8-16gb-%EB%A1%AC-256gb-3fe1vw54f5c1/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
DELL E-Port Plus II 노트북 도킹스테이션,기타,5000.0,2025-05-02 01:02:25.884384,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/dell-e-port-plus-ii-%EB%85%B8%ED%8A%B8%EB%B6%81-%EB%8F%84%ED%82%B9%EC%8A%A4%ED%85%8C%EC%9D%B4%EC%85%98-dpsz49nf31fk/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
ASUS A550L 노트북,ASUS,45000.0,2025-05-02 01:02:25.884389,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/asus-a550l-%EB%85%B8%ED%8A%B8%EB%B6%81-123pi8ut6kgr/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
델 게이밍 노트북 Dell G16 32GB 1TB,기타,1200000.0,2025-05-02 01:02:25.884393,https://www.daangn.comhttps://www.daangn.com/kr/buy-sell/%EB%8D%B8-%EA%B2%8C%EC%9D%B4%EB%B0%8D-%EB%85%B8%ED%8A%B8%EB%B6%81-dell-g16-32gb-1tb-uvo7ddmwyfoe/?in=%EC%8B%A0%EB%8B%B9%EB%8F%99-28
